mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0979337215423584,0.010193893255909636,0.009216642379760743,0.0016077114885285255,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8181818181818182,0.8461538461538461,0.8309859154929577,0.7605633802816901,0.8450704225352113,0.8201910765291046,0.03152483177247602,78
0.1802210807800293,0.01717480050293578,0.012973928451538086,0.0036685500486138625,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8321678321678322,0.8601398601398601,0.8591549295774648,0.7746478873239436,0.852112676056338,0.8356446370530877,0.03211428892874658,1
0.37508182525634765,0.03243969311422008,0.023122596740722656,0.004465567787874733,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8251748251748252,0.8601398601398601,0.8309859154929577,0.7605633802816901,0.852112676056338,0.8257953314291342,0.035084708697740885,40
0.08152375221252442,0.006066626887598998,0.007309150695800781,0.001033980123784547,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8251748251748252,0.8321678321678322,0.8309859154929577,0.7676056338028169,0.8450704225352113,0.8202009258347287,0.02708881368320212,74
0.1717778205871582,0.015611412939648366,0.015130329132080077,0.004150511238834069,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8251748251748252,0.8461538461538461,0.852112676056338,0.7746478873239436,0.852112676056338,0.8300403821530582,0.02941434400598501,5
0.31699748039245607,0.013555968410626555,0.022348499298095702,0.003907863836660552,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8181818181818182,0.8531468531468531,0.8309859154929577,0.7676056338028169,0.852112676056338,0.8244065793361568,0.03131138407466534,45
0.08416538238525391,0.010408558486729943,0.008868551254272461,0.0014487460855623887,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8251748251748252,0.8391608391608392,0.8309859154929577,0.7746478873239436,0.8450704225352113,0.8230079779375554,0.025118548787967838,61
0.17212934494018556,0.03449562467441116,0.01322798728942871,0.0034370946212009036,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8461538461538461,0.8391608391608392,0.852112676056338,0.7676056338028169,0.8450704225352113,0.8300206835418104,0.03147700936098892,8
0.36127233505249023,0.04345472597424851,0.023847198486328124,0.004626422929129644,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8321678321678322,0.8391608391608392,0.8309859154929577,0.7746478873239436,0.852112676056338,0.8258150300403819,0.026664018647078583,33
0.0801774501800537,0.007880451255741314,0.007518196105957031,0.0016743745389163065,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8181818181818182,0.8531468531468531,0.8450704225352113,0.7605633802816901,0.852112676056338,0.8258150300403821,0.035001167408938216,31
0.17729411125183106,0.026661687817579355,0.012470102310180664,0.0013833022914789697,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8321678321678322,0.8461538461538461,0.852112676056338,0.7746478873239436,0.8591549295774648,0.8328474342558849,0.030423489515190055,2
0.3376798152923584,0.031014378688347673,0.022640323638916014,0.0054639406771458034,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8181818181818182,0.8461538461538461,0.8309859154929577,0.7746478873239436,0.8591549295774648,0.825824879346006,0.029080221217871516,30
0.09220008850097657,0.015618768061779194,0.007616233825683594,0.0016885492781548452,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8111888111888111,0.8531468531468531,0.8380281690140845,0.7676056338028169,0.852112676056338,0.8244164286417807,0.032187684485746985,43
0.15504684448242187,0.012839281214142134,0.010114812850952148,0.0005898186839256337,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8181818181818182,0.8461538461538461,0.8380281690140845,0.7676056338028169,0.8591549295774648,0.8258248793460062,0.03200305096145217,28
0.3499444961547852,0.039331432517992995,0.027305459976196288,0.004514591740560096,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8181818181818182,0.8531468531468531,0.8309859154929577,0.7746478873239436,0.8591549295774648,0.8272234807446074,0.03017197130431084,19
0.07843179702758789,0.0016311169193395055,0.007013750076293945,0.002029915375600413,5,2,10,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8111888111888111,0.8391608391608392,0.8380281690140845,0.7676056338028169,0.8450704225352113,0.8202107751403526,0.028786327477168618,73
0.16648688316345214,0.01984242047948339,0.012511014938354492,0.002617008190388098,5,2,10,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8251748251748252,0.8321678321678322,0.852112676056338,0.7746478873239436,0.8450704225352113,0.8258347286516301,0.027280684877175713,26
0.32254757881164553,0.021823423219100253,0.021579933166503907,0.002554877898947185,5,2,10,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8321678321678322,0.8461538461538461,0.823943661971831,0.7746478873239436,0.852112676056338,0.8258051807347581,0.027448751333773377,36
0.08850555419921875,0.017016609699077232,0.00851426124572754,0.0015197223619129658,5,4,2,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8181818181818182,0.8461538461538461,0.8591549295774648,0.7676056338028169,0.852112676056338,0.8286417807544568,0.03353633749723596,14
0.16873421669006347,0.022069259135740916,0.012021350860595702,0.0029219305650862236,5,4,2,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8321678321678322,0.8391608391608392,0.852112676056338,0.7605633802816901,0.8380281690140845,0.8244065793361568,0.032579302616297795,45
0.34544963836669923,0.03909123803577577,0.02250380516052246,0.0041210645822420365,5,4,2,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.8251748251748252,0.8391608391608392,0.8450704225352113,0.7535211267605634,0.852112676056338,0.8230079779375554,0.035854895212095846,61
0.0851675033569336,0.009103632730918073,0.010385417938232422,0.002261943073803175,5,4,5,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.8181818181818182,0.8461538461538461,0.8591549295774648,0.7676056338028169,0.852112676056338,0.8286417807544568,0.03353633749723596,14
0.15681214332580568,0.017674884756608243,0.011318254470825195,0.0022245534101936644,5,4,5,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8321678321678322,0.8391608391608392,0.852112676056338,0.7605633802816901,0.8380281690140845,0.8244065793361568,0.032579302616297795,45
0.3355730056762695,0.03827380354890974,0.020836496353149415,0.0031858303086541996,5,4,5,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.8251748251748252,0.8391608391608392,0.8450704225352113,0.7535211267605634,0.852112676056338,0.8230079779375554,0.035854895212095846,61
0.09539289474487304,0.009734455828577755,0.008119869232177734,0.0016253693787881068,5,4,10,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.8181818181818182,0.8391608391608392,0.8450704225352113,0.7816901408450704,0.852112676056338,0.8272431793558553,0.02543824154547614,18
0.16449294090270997,0.02161772820010999,0.01184391975402832,0.0012256967953445583,5,4,10,100,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8321678321678322,0.8461538461538461,0.8591549295774648,0.7816901408450704,0.8380281690140845,0.8314389835516597,0.026471104176120256,3
0.34311809539794924,0.03800584106988097,0.026463079452514648,0.004889014795280388,5,4,10,200,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.8321678321678322,0.8461538461538461,0.8450704225352113,0.7746478873239436,0.8591549295774648,0.8314389835516595,0.029652240405473096,4
0.08799448013305664,0.009688508922276452,0.008060789108276368,0.0027890160528451164,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8251748251748252,0.8111888111888111,0.8309859154929577,0.8098591549295775,0.8450704225352113,0.8244558258642766,0.013093487749621137,41
0.17822771072387694,0.02274316983952459,0.01292433738708496,0.0025900167439041333,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8461538461538461,0.8181818181818182,0.8169014084507042,0.8098591549295775,0.8380281690140845,0.8258248793460062,0.013821260746527083,28
0.36344566345214846,0.02828223771632297,0.020716047286987303,0.002207578156516093,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8461538461538461,0.8111888111888111,0.8098591549295775,0.8098591549295775,0.8380281690140845,0.8230178272431793,0.01579121696413621,58
0.09212422370910645,0.009898007984910367,0.008715486526489258,0.0019383157784489814,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8181818181818182,0.8321678321678322,0.8169014084507042,0.8028169014084507,0.8450704225352113,0.8230276765488034,0.01441467329673432,56
0.19030470848083497,0.021141225441080755,0.01402111053466797,0.0017986344026928384,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8321678321678322,0.8251748251748252,0.8169014084507042,0.7887323943661971,0.852112676056338,0.8230178272431793,0.020725766302194238,58
0.37828860282897947,0.03978474371925148,0.027545404434204102,0.0035727115846731798,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8391608391608392,0.8111888111888111,0.8169014084507042,0.8028169014084507,0.852112676056338,0.8244361272530287,0.018343733485221718,42
0.09851551055908203,0.014029349512368396,0.008110284805297852,0.0011580235675211186,10,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8461538461538461,0.8461538461538461,0.8098591549295775,0.8028169014084507,0.8380281690140845,0.8286023835319611,0.018553451533733268,16
0.1871098518371582,0.024815171030896577,0.01281890869140625,0.0012501207192605445,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8531468531468531,0.8531468531468531,0.8098591549295775,0.7887323943661971,0.8309859154929577,0.8271742342164877,0.025064994730279597,25
0.3623241901397705,0.03463752939973202,0.024044084548950195,0.0029758585169915586,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8461538461538461,0.8391608391608392,0.8098591549295775,0.7887323943661971,0.8309859154929577,0.8229784300206836,0.021014263913246158,66
0.09090089797973633,0.0037180404292609086,0.006715297698974609,0.0007483924942813193,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8461538461538461,0.8321678321678322,0.795774647887324,0.7887323943661971,0.8380281690140845,0.8201713779178569,0.023330146512203876,79
0.18895955085754396,0.015483742265717946,0.014419746398925782,0.0015659009666465133,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8461538461538461,0.8251748251748252,0.8028169014084507,0.8028169014084507,0.852112676056338,0.8258150300403821,0.020801304431642888,31
0.37485570907592775,0.030039644863325447,0.027463197708129883,0.004841593330054175,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8321678321678322,0.8251748251748252,0.8028169014084507,0.795774647887324,0.8450704225352113,0.8202009258347287,0.018359116250970774,74
0.09560446739196778,0.01239808095605593,0.007511329650878906,0.0013786769872267822,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8041958041958042,0.8251748251748252,0.8169014084507042,0.8028169014084507,0.8309859154929577,0.8160149709445484,0.011159745729702606,87
0.18002772331237793,0.009014819054920789,0.014427661895751953,0.003253906898735986,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8111888111888111,0.8251748251748252,0.8098591549295775,0.7887323943661971,0.8380281690140845,0.814596670934699,0.016516360481235125,90
0.3496575355529785,0.026778360786880118,0.02601480484008789,0.00331786529657372,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8181818181818182,0.8251748251748252,0.795774647887324,0.795774647887324,0.852112676056338,0.8174037230375258,0.020982567354116504,84
0.09015893936157227,0.011844223485814414,0.00781254768371582,0.0014004102095714376,10,2,10,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8531468531468531,0.8461538461538461,0.8098591549295775,0.7816901408450704,0.8450704225352113,0.8271840835221116,0.027289889685455315,24
0.17974228858947755,0.019721564777145685,0.013323116302490234,0.0025796310749701787,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8601398601398601,0.8391608391608392,0.823943661971831,0.795774647887324,0.823943661971831,0.828592534226337,0.021105262527248873,17
0.38759646415710447,0.025081080266318508,0.024135780334472657,0.005118382271147401,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8391608391608392,0.8461538461538461,0.8169014084507042,0.7887323943661971,0.823943661971831,0.8229784300206836,0.020048057763556597,66
0.0901329517364502,0.011410480330307315,0.008119630813598632,0.0017400625020048343,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8251748251748252,0.8321678321678322,0.8309859154929577,0.7816901408450704,0.8380281690140845,0.821609376538954,0.020372702406520393,70
